,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,firstName,games,hits,lastName,player_id,runs,seasons,WAR,BA,WAR,OBP,OPS,SLG,seasons,predictions
71,1.04,0.05,0.2432432432432433,6.02,0.05,0,0.05,0.05,0.27296911497534376,0.5249285744348032,4.0299999999999985,0.05,0.2519594594594595,Patrick James,42.0,36.0,Quinn,quinnpa02,26.0,5.0,-0.3,0.2432432432432433,-0.3,0.27296911497534376,0.5249285744348032,0.2519594594594595,5.0,0
72,34.01,9.03,0.2816728167281673,12.01,0.05,0,2.03,0.05,0.29215498539588663,0.6453653174992076,9.02,0.05,0.35321033210332103,John Young,157.0,229.0,Radcliff,radcljo01,199.0,5.0,2.42,0.2816728167281673,2.42,0.29215498539588663,0.6453653174992076,0.35321033210332103,5.0,0
73,15.01,7.0299999999999985,0.2468193384223919,9.03,0.05,0,0.05,0.05,0.26379529008032226,0.5849657735408821,7.01,0.05,0.3211704834605598,Alfred James,80.0,97.0,Reach,reachal01,89.0,5.0,0.68,0.2468193384223919,0.68,0.26379529008032226,0.5849657735408821,0.3211704834605598,5.0,0
75,64.01,16.03,0.2716273442226255,12.03,0.08,0,4.049999999999999,0.08,0.2769113434502969,0.6140075321980283,23.030000000000005,0.08,0.3370961887477313,Harry C.,367.0,449.0,Schafer,schafha01,339.01,8.0,3.78,0.2716273442226255,3.78,0.2769113434502969,0.6140075321980283,0.3370961887477313,8.0,0
79,147.0,67.02,0.2987149778807668,164.01,0.16,0,15.07,0.16,0.32214695408372074,0.6895895494070828,18.1,0.16,0.3674425953233621,Joseph,1071.0,1418.0,Start,startjo01,854.0,16.0,32.24,0.2987149778807668,32.24,0.32214695408372074,0.6895895494070828,0.3674425953233621,16.0,0
81,11.03,2.07,0.19402985074626866,17.02,0.08,0,0.08,0.08,0.21406327308710965,0.4310931238333783,3.06,0.08,0.21702985074626865,Charles James,166.0,130.0,Sweasy,sweasch01,67.00999999999999,8.0,-1.62,0.19402985074626866,-1.62,0.21406327308710965,0.4310931238333783,0.21702985074626865,8.0,0
82,37.0,14.02,0.24431818181818185,18.0,0.07,0,7.039999999999999,0.07,0.2552274145295727,0.5694806612828195,33.01,0.07,0.3142532467532468,Frederick S.,269.0,301.0,Treacey,treacfr01,238.0,7.0,0.73,0.24431818181818185,0.73,0.2552274145295727,0.5694806612828195,0.3142532467532468,7.0,0
85,13.03,4.049999999999999,0.25483471074380165,1.05,0.06000000000000001,0,0.06000000000000001,0.06000000000000001,0.2559511531003755,0.5401384809240669,7.0299999999999985,0.06000000000000001,0.28418732782369144,William Warren,168.0,185.01,White,whitewa01,96.01,6.0,2.11,0.25483471074380165,2.11,0.2559511531003755,0.5401384809240669,0.28418732782369144,6.0,0
87,24.030000000000005,9.03,0.2720833333333333,36.03,0.07,0,4.049999999999999,0.07,0.3028973092223381,0.6414512307909654,9.04,0.07,0.3385539215686273,William Henry,180.0,222.02,Wright,wrighha01,183.02,7.0,0.96,0.2720833333333333,0.96,0.3028973092223381,0.6414512307909654,0.3385539215686273,7.0,0
88,217.0,89.0,0.2736131934032984,199.0,10.13,0,15.04,0.15,0.3096754430956859,0.6932636489927373,15.099999999999998,0.15,0.38358820589705145,Thomas Jefferson,963.0,1095.0,York,yorkto01,743.0,15.0,19.38,0.2736131934032984,19.38,0.3096754430956859,0.6932636489927373,0.38358820589705145,15.0,0
93,5.0299999999999985,3.03,0.28667215815486,7.0299999999999985,0.05,0,1.04,0.05,0.2948724211486168,0.6049547934715163,19.020000000000003,0.05,0.3100823723228995,Thomas H.,126.0,174.01,Barlow,barloto01,120.01,5.0,1.52,0.28667215815486,1.52,0.2948724211486168,0.6049547934715163,0.3100823723228995,5.0,0
96,7.02,2.039999999999999,0.2412868632707775,10.01,0.05,0,0.05,0.05,0.25136554205075984,0.5077328342759609,8.03,0.05,0.2563672922252011,Oscar,174.0,180.0,Bielaski,bielaos01,117.0,5.0,-0.83,0.2412868632707775,-0.83,0.25136554205075984,0.5077328342759609,0.2563672922252011,5.0,0
99,164.01999999999995,50.05999999999999,0.2502543234994913,140.0,10.15,0,18.120000000000008,0.19000000000000006,0.2724693702693205,0.5875253214392087,59.12000000000001,0.19000000000000006,0.3150559511698881,John Joseph,1187.0,1230.0,Burdock,burdoja01,777.0,19.0,14.83,0.2502543234994913,14.83,0.2724693702693205,0.5875253214392087,0.3150559511698881,19.0,0
100,91.01,35.01,0.2829964328180737,112.0,0.11,0,7.059999999999999,0.11,0.3134880579230576,0.6687040706063712,17.07000000000001,0.11,0.3552160126833135,John Edgar,588.0,714.0,Clapp,clappjo01,457.0,11.0,18.92,0.2829964328180737,18.92,0.3134880579230576,0.6687040706063712,0.3552160126833135,11.0,0
103,32.0,5.02,0.2135842880523732,46.0,0.06000000000000001,0,0.06000000000000001,0.06000000000000001,0.2421379680156452,0.4902721742349578,34.02,0.06000000000000001,0.24813420621931265,Herman J.,307.0,261.0,Dehlman,dehlmhe01,226.0,6.0,2.89,0.2135842880523732,2.89,0.2421379680156452,0.4902721742349578,0.24813420621931265,6.0,0
104,14.04,0.07,0.2242562929061785,2.059999999999999,0.07,0,0.07,0.07,0.22798269581056466,0.4851680505016402,1.06,0.07,0.2571853546910755,John Henry,109.0,98.0,Doscher,doschhe01,36.0,7.0,-0.18,0.2242562929061785,-0.18,0.22798269581056466,0.4851680505016402,0.2571853546910755,7.0,0
110,35.01,6.02,0.2631118881118881,23.0,0.06000000000000001,0,1.05,0.06000000000000001,0.2776578243882377,0.5846508313812446,9.02,0.06000000000000001,0.30699300699300697,Nathan Woodhull,257.0,301.0,Hicks,hicksna01,173.0,6.0,3.86,0.2631118881118881,3.86,0.2776578243882377,0.5846508313812446,0.30699300699300697,6.0,0
112,37.03,22.040000000000006,0.2910263335584065,8.03,0.08,0,0.09,0.09,0.2948697287134032,0.6408454208133356,8.049999999999999,0.09,0.34597569209993245,James,318.0,431.01,Holdsworth,holdsji01,221.01,9.0,2.91,0.2910263335584065,2.91,0.2948697287134032,0.6408454208133356,0.34597569209993245,9.0,0
126,33.0,7.04,0.26116207951070336,60.01,0.08,0,5.039999999999999,0.08,0.2873399128111045,0.5865448057774654,38.04999999999999,0.08,0.2992048929663608,Timothy Hayes,384.0,427.0,Murnane,murnati01,338.0,8.0,1.97,0.26116207951070336,1.97,0.2873399128111045,0.5865448057774654,0.2992048929663608,8.0,0
127,90.02,26.05,0.2528870673952641,352.02,27.09,0,3.1199999999999988,0.15,0.3299848091341206,0.6288585189094698,68.08,0.15,0.2988737097753491,John W.,817.0,833.01,Nelson,nelsoca01,648.01,15.0,15.92,0.2528870673952641,15.92,0.3299848091341206,0.6288585189094698,0.2988737097753491,15.0,0
128,465.01,151.01,0.3107583774250441,510.01,36.15,0,62.05,0.2300000000000001,0.3523392539709371,0.7751705296911018,224.11,0.2300000000000001,0.4228312757201647,James Henry,1999.0,2643.0,O'Rourke,orourji01,1729.0,23.0,0.0,0.3107583774250441,0.0,0.3523392539709371,0.7751705296911018,0.4228312757201647,23.0,0
130,69.0,39.01,0.24404761904761904,71.00999999999998,0.1,0,8.059999999999999,0.11,0.2662201533496752,0.5830568880435527,14.07,0.11,0.3168367346938775,John Jay,578.0,574.0,Remsen,remseja01,366.0,11.0,4.17,0.24404761904761904,4.17,0.2662201533496752,0.5830568880435527,0.3168367346938775,11.0,0
149,122.04,55.03999999999999,0.2268712249335588,162.04000000000005,13.11,0,7.119999999999997,0.17,0.25824927219121435,0.5463623429812602,37.13,0.17,0.28811307079004583,John Joseph,1071.0,939.02,Gerhardt,gerhajo01,493.02,17.0,6.84,0.2268712249335588,6.84,0.25824927219121435,0.5463623429812602,0.28811307079004583,17.0,0
154,8.02,0.05,0.2534562211981567,10.02,0.05,0,0.05,0.05,0.2703548590471044,0.5428663797844315,0.05,0.05,0.2725115207373272,Henry,105.0,110.0,Kessler,kesslhe01,51.02,5.0,-0.46,0.2534562211981567,-0.46,0.2703548590471044,0.5428663797844315,0.2725115207373272,5.0,0
156,172.01999999999995,37.03,0.2632507122507122,181.02,3.12,0,14.07,0.12999999999999998,0.2999645396790164,0.6453491550636317,30.1,0.12999999999999998,0.3453846153846153,John E.,834.0,924.01,Manning,mannija01,563.01,13.0,7.17,0.2632507122507122,7.17,0.2999645396790164,0.6453491550636317,0.3453846153846153,13.0,0
159,44.02,8.040000000000001,0.23163841807909605,35.03,0.08,0,5.04,0.08,0.2527958938619829,0.5451445621428546,0.08,0.08,0.29234866828087164,Louis I.,298.0,287.0,Say,saylo01,181.0,8.0,-1.21,0.23163841807909605,-1.21,0.2527958938619829,0.5451445621428546,0.29234866828087164,8.0,0
164,124.01,41.06,0.2346322722283205,83.01,10.1,0,9.109999999999998,0.18000000000000002,0.2536891704951984,0.5523884021088097,33.12,0.18000000000000002,0.2986992316136113,Charles N.,930.0,855.0,Snyder,snydepo01,433.0,18.0,7.46,0.2346322722283205,7.46,0.2536891704951984,0.5523884021088097,0.2986992316136113,18.0,0
168,5.0299999999999985,2.039999999999999,0.1713707165109034,5.01,0.04,0,0.05,0.05,0.1841766329346826,0.38439470147050814,2.039999999999999,0.05,0.2002180685358256,William Harrison,83.0,55.01,Barnie,barnibi01,32.01,5.0,-2.66,0.1713707165109034,-2.66,0.1841766329346826,0.38439470147050814,0.2002180685358256,5.0,0
170,50.02,20.02,0.2605960591133005,94.02,9.04,0,4.05,0.07,0.29631105464739604,0.6072568674552778,22.04,0.07,0.3109458128078817,Stephen A.,490.0,529.01,Brady,bradyst01,313.01,7.0,3.19,0.2605960591133005,3.19,0.29631105464739604,0.6072568674552778,0.3109458128078817,7.0,0
188,164.02999999999997,53.03,0.28153153153153154,227.03,5.12,0,11.089999999999998,0.15,0.32559522236609145,0.6925321593030284,34.12,0.15,0.3669369369369369,George W.,871.0,1000.0,Shafer,shaffor01,601.0,15.0,19.24,0.28153153153153154,19.24,0.32559522236609145,0.6925321593030284,0.3669369369369369,15.0,0
198,64.04,38.03,0.2294154118689105,40.03,0.11,0,3.109999999999999,0.12999999999999998,0.24286093452901525,0.5384543800560303,5.1099999999999985,0.12999999999999998,0.29559344552701505,George Washington,567.0,518.02,Bradley,bradlge01,272.03,13.0,1.54,0.2294154118689105,1.54,0.24286093452901525,0.5384543800560303,0.29559344552701505,13.0,0
200,58.02,13.07,0.21443471005423445,124.02,6.07,0,2.1099999999999994,0.12999999999999998,0.2548610726410839,0.5070471385568118,39.08,0.12999999999999998,0.252186065915728,Albert John,672.0,514.0,Bushong,bushodo01,287.01,13.0,3.93,0.21443471005423445,3.93,0.2548610726410839,0.5070471385568118,0.252186065915728,13.0,0
204,83.00999999999998,22.03,0.2625182304326689,102.0,0.09,0,8.06,0.09,0.29737678192647204,0.6334244241238468,0.09,0.09,0.3360476421973748,William Michael,521.0,540.0,Crowley,crowlbi01,263.0,9.0,4.66,0.2625182304326689,4.66,0.29737678192647204,0.6334244241238468,0.3360476421973748,9.0,0
209,12.04,0.06000000000000001,0.2176796714579056,19.03,0.06000000000000001,0,0.06000000000000001,0.06000000000000001,0.2471599328262373,0.4901784133190505,1.05,0.06000000000000001,0.2430184804928132,Joseph J.,116.0,106.01,Ellick,ellicjo01,77.01,6.0,-1.64,0.2176796714579056,-1.64,0.2471599328262373,0.4901784133190505,0.2430184804928132,6.0,0
212,129.01,34.05,0.2358393408856849,54.0,1.1,0,21.05,0.12999999999999998,0.2500143182974365,0.5751979777550404,12.079999999999998,0.12999999999999998,0.32518365945760386,Frank Sylvester,760.0,687.0,Flint,flintsi01,380.0,13.0,7.67,0.2358393408856849,7.67,0.2500143182974365,0.5751979777550404,0.32518365945760386,13.0,0
213,23.01,10.02,0.22810590631364566,20.02,0.07,0,0.07,0.07,0.24356390197174105,0.5157227614422094,0.07,0.07,0.2721588594704684,William Brown,253.0,224.0,Foley,foleywi01,112.02,7.0,0.3,0.22810590631364566,0.3,0.24356390197174105,0.5157227614422094,0.2721588594704684,7.0,0
217,33.02,10.04,0.2257309941520468,26.01,0.07,0,3.06,0.08,0.2486268101139407,0.5471999095291453,0.08,0.08,0.29857309941520466,Fredrick Ernest,218.0,193.0,Goldsmith,goldsfr01,128.01,8.0,-1.22,0.2257309941520468,-1.22,0.2486268101139407,0.5471999095291453,0.29857309941520466,8.0,0
218,23.0,2.03,0.23746081504702196,19.0,0.05,0,2.03,0.05,0.248668056520732,0.5121084953922054,3.0399999999999987,0.05,0.2634404388714733,William L.,301.0,303.0,Hague,haguebi01,134.0,5.0,1.5,0.23746081504702196,1.5,0.248668056520732,0.5121084953922054,0.2634404388714733,5.0,0
219,47.02,16.02,0.2470198675496689,80.02000000000002,0.09,0,2.08,0.09,0.2849390013834738,0.5884489351583082,2.0799999999999983,0.09,0.30350993377483443,William Albert,378.0,373.0,Harbridge,harbibi01,200.0,9.0,2.05,0.2470198675496689,2.05,0.2849390013834738,0.5884489351583082,0.30350993377483443,9.0,0
223,61.02,36.03,0.2401908801696713,177.01,21.03,0,22.03,0.11,0.31237674831466056,0.6581720823549575,41.06,0.11,0.3457953340402969,James W.,528.0,453.0,Keenan,keenaji01,255.0,11.0,9.84,0.2401908801696713,9.84,0.31237674831466056,0.6581720823549575,0.3457953340402969,11.0,0
225,93.0,37.02,0.2425699300699301,97.01,2.07,0,3.06,0.09,0.2739980814102053,0.5935872422493661,2.0799999999999983,0.09,0.3195891608391608,Alonzo P.,545.0,555.0,Knight,knighlo01,391.0,9.0,0.67,0.2425699300699301,0.67,0.2739980814102053,0.5935872422493661,0.3195891608391608,9.0,0
226,35.0,17.02,0.246680642907058,35.02,3.05,0,0.06000000000000001,0.06000000000000001,0.2661915555464799,0.5612439664479474,6.049999999999999,0.06000000000000001,0.2950524109014675,George Warren,334.0,353.0,Latham,lathaju01,209.0,6.0,1.59,0.246680642907058,1.59,0.2661915555464799,0.5612439664479474,0.2950524109014675,6.0,0
242,45.0,28.01,0.23768115942028986,103.0,5.07,0,5.059999999999999,0.09,0.2826103558881931,0.5876538341490627,1.08,0.09,0.3050434782608695,John H.,440.0,410.0,Richmond,richmjo01,239.0,9.0,6.09,0.23768115942028986,6.09,0.2826103558881931,0.5876538341490627,0.3050434782608695,9.0,0
258,46.02,23.02,0.25445035460992904,34.01,3.04,0,11.02,0.06000000000000001,0.2781454111628945,0.6435177515884264,0.06000000000000001,0.06000000000000001,0.3653723404255319,Oscar,282.0,287.02,Walker,walkeos01,155.01,6.0,3.12,0.25445035460992904,3.12,0.2781454111628945,0.6435177515884264,0.3653723404255319,6.0,0
259,29.01,5.04,0.2340522243713733,27.01,1.05,0,1.05,0.06000000000000001,0.2542744699280684,0.5291777581292291,0.06000000000000001,0.06000000000000001,0.2749032882011605,Frederick John Rodney,257.0,242.01,Warner,warnefr01,115.01,6.0,-0.22,0.2340522243713733,-0.22,0.2542744699280684,0.5291777581292291,0.2749032882011605,6.0,0
268,41.03,7.09,0.20813704496788007,58.02,3.08,0,0.12999999999999998,0.12999999999999998,0.22831698125805955,0.4602655893951045,16.110000000000007,0.12999999999999998,0.2319486081370449,William Henry,623.0,486.0,Holbert,holbebi01,182.0,13.0,1.7,0.20813704496788007,1.7,0.22831698125805955,0.4602655893951045,0.2319486081370449,13.0,0
269,29.01,15.02,0.2343313609467456,42.01,3.05,0,1.05,0.06000000000000001,0.27307554037657844,0.5810163687789454,0.06000000000000001,0.06000000000000001,0.3079408284023669,Frank S.,223.0,198.01,Larkin,larkite01,105.01,6.0,2.13,0.2343313609467456,2.13,0.27307554037657844,0.5810163687789454,0.3079408284023669,6.0,0
284,59.03,14.03,0.2694736842105263,95.02,11.06,0,9.03,0.07,0.32007314763413125,0.6696731476341312,8.06,0.07,0.3496,John Day,343.0,384.0,Gleason,gleasja01,253.02,7.0,4.32,0.2694736842105263,4.32,0.32007314763413125,0.6696731476341312,0.3496,7.0,0
293,77.00999999999998,32.02,0.2626886145404664,42.01,1.06,0,8.04,0.07,0.2838309551407597,0.6598048920406225,4.05,0.07,0.3759739368998628,David Elwood,347.0,383.0,Rowe,roweda01,223.01,7.0,1.94,0.2626886145404664,1.94,0.2838309551407597,0.6598048920406225,0.3759739368998628,7.0,0
297,203.0,67.03,0.255953938759487,478.0,11.08,0,55.01,0.15,0.34037162750015665,0.7277283404025382,42.07,0.15,0.3873567129023816,Charles Wesley,1062.0,978.0,Bennett,bennech01,549.0,15.0,39.1,0.255953938759487,39.1,0.34037162750015665,0.7277283404025382,0.3873567129023816,15.0,0
299,55.0,28.01,0.21482277121374865,71.0,2.06,0,1.06,0.07,0.2444590285923943,0.5206137009876681,0.07,0.07,0.27615467239527386,George W.,500.0,400.0,Creamer,creamge01,234.0,7.0,-0.68,0.21482277121374865,-0.68,0.2444590285923943,0.5206137009876681,0.27615467239527386,7.0,0
300,217.0,81.0,0.288111217641419,204.0,8.09,0,43.04,0.11999999999999998,0.3225415753351231,0.7324456980580377,58.08,0.11999999999999998,0.40990412272291465,Abner Frank,951.0,1202.0,Dalrymple,dalryab01,813.0,12.0,18.36,0.288111217641419,18.36,0.3225415753351231,0.7324456980580377,0.40990412272291465,12.0,1
301,84.01,34.01,0.2837684449489217,48.01,2.08,0,4.069999999999999,0.1,0.3035498485258169,0.6805305522715603,0.1,0.1,0.3769807037457435,Lewis Pessano,408.0,500.0,Dickerson,dickebu01,302.0,10.0,7.04,0.2837684449489217,7.04,0.3035498485258169,0.6805305522715603,0.3769807037457435,10.0,0
305,129.01,33.01,0.24178917735376915,274.0,15.04,0,6.049999999999999,0.09,0.3046472736243341,0.6131177146628077,132.05,0.09,0.30847044103847354,William Henry,792.0,773.0,McClellan,mcclebi01,533.0,9.0,4.53,0.24178917735376915,4.53,0.3046472736243341,0.6131177146628077,0.30847044103847354,9.0,0
307,12.01,6.049999999999999,0.17975567190226874,19.01,0.05,0,0.08,0.08,0.2061336846016145,0.4283849935021381,0.08,0.08,0.22225130890052355,Philip J.,155.0,103.0,Powers,powerph01,56.0,8.0,-2.09,0.17975567190226874,-2.09,0.2061336846016145,0.4283849935021381,0.22225130890052355,8.0,0
309,13.02,12.02,0.17496229260935142,34.01,4.02,0,1.04,0.05,0.21970388543390199,0.4552694962936306,8.04,0.05,0.2355656108597285,William Franklin,179.0,116.0,Traffley,traffbi01,85.0,5.0,-2.74,0.17496229260935142,-2.74,0.21970388543390199,0.4552694962936306,0.2355656108597285,5.0,0
310,29.03,21.070000000000004,0.2281729055258467,23.040000000000006,0.09,0,2.08,0.1,0.2437414318521171,0.5409072072531865,0.1,0.1,0.2971657754010695,Harry Eugene,257.0,256.01,Wheeler,wheelha01,152.03,10.0,-2.29,0.2281729055258467,-2.29,0.2437414318521171,0.5409072072531865,0.2971657754010695,10.0,0
314,142.01,47.02,0.25921932283804183,112.0,28.05,0,18.040000000000006,0.11999999999999998,0.28092992294601193,0.602726343045214,158.07999999999996,0.11999999999999998,0.3217964200992021,Warren William,1118.0,1202.0,Carpenter,carpehi01,720.01,12.0,4.38,0.25921932283804183,4.38,0.28092992294601193,0.602726343045214,0.3217964200992021,12.0,0
315,50.01,10.02,0.22822020309994656,82.01,0.07,0,2.05,0.07,0.2606456237360162,0.5295927108552038,0.07,0.07,0.2689470871191876,Edward James,482.0,427.0,Caskin,caskied01,229.0,7.0,4.12,0.22822020309994656,4.12,0.2606456237360162,0.5295927108552038,0.2689470871191876,7.0,0
